[14/Sep/2015 19:55:31]"POST /register/ HTTP/1.1" 200 26
[14/Sep/2015 19:55:32]"POST /register/ HTTP/1.1" 200 26
[14/Sep/2015 19:55:35]"POST /login/ HTTP/1.1" 200 21
[14/Sep/2015 19:55:35]"GET /game_menu/ HTTP/1.1" 200 2658
[14/Sep/2015 19:55:35]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[14/Sep/2015 19:55:39]"POST /login/ HTTP/1.1" 200 21
[14/Sep/2015 19:55:39]"GET /game_menu/ HTTP/1.1" 200 2662
[14/Sep/2015 19:55:39]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[14/Sep/2015 19:55:48]"GET / HTTP/1.1" 200 14241
[14/Sep/2015 19:55:54]"GET /admin HTTP/1.1" 301 0
[14/Sep/2015 19:55:54]"GET /admin/ HTTP/1.1" 302 0
[14/Sep/2015 19:55:54]"GET /admin/login/?next=/admin/ HTTP/1.1" 200 1915
[14/Sep/2015 19:55:54]"GET /static/admin/css/login.css HTTP/1.1" 200 940
[14/Sep/2015 19:55:54]"GET /static/admin/css/base.css HTTP/1.1" 200 14049
[14/Sep/2015 19:55:55]"GET /static/admin/img/nav-bg.gif HTTP/1.1" 200 265
[14/Sep/2015 19:56:00]"POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[14/Sep/2015 19:56:00]"GET /admin/ HTTP/1.1" 200 7034
[14/Sep/2015 19:56:00]"GET /static/admin/css/dashboard.css HTTP/1.1" 200 434
[14/Sep/2015 19:56:00]"GET /static/admin/img/icon_deletelink.gif HTTP/1.1" 200 181
[14/Sep/2015 19:56:00]"GET /static/admin/img/icon_changelink.gif HTTP/1.1" 200 119
[14/Sep/2015 19:56:00]"GET /static/admin/img/default-bg.gif HTTP/1.1" 200 836
[14/Sep/2015 19:56:00]"GET /static/admin/img/icon_addlink.gif HTTP/1.1" 200 119
[14/Sep/2015 19:56:03]"GET /admin/auth/user/ HTTP/1.1" 200 22493
[14/Sep/2015 19:56:03]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 19:56:03]"GET /static/admin/js/jquery.js HTTP/1.1" 200 284184
[14/Sep/2015 19:56:03]"GET /static/admin/js/core.js HTTP/1.1" 200 7522
[14/Sep/2015 19:56:03]"GET /static/admin/css/changelists.css HTTP/1.1" 200 5254
[14/Sep/2015 19:56:03]"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 4464
[14/Sep/2015 19:56:03]"GET /static/admin/js/actions.js HTTP/1.1" 200 4910
[14/Sep/2015 19:56:03]"GET /static/admin/js/jquery.init.js HTTP/1.1" 200 326
[14/Sep/2015 19:56:03]"GET /static/admin/img/icon_searchbox.png HTTP/1.1" 200 368
[14/Sep/2015 19:56:03]"GET /static/admin/img/icon-yes.gif HTTP/1.1" 200 299
[14/Sep/2015 19:56:03]"GET /static/admin/img/icon-no.gif HTTP/1.1" 200 176
[14/Sep/2015 19:56:03]"GET /static/admin/img/nav-bg-selected.gif HTTP/1.1" 200 265
[14/Sep/2015 19:56:03]"GET /static/admin/img/sorting-icons.gif HTTP/1.1" 200 369
[14/Sep/2015 19:56:03]"GET /static/admin/img/nav-bg-reverse.gif HTTP/1.1" 200 178
[14/Sep/2015 19:56:03]"GET /static/admin/img/changelist-bg.gif HTTP/1.1" 200 50
[14/Sep/2015 19:56:03]"GET /static/admin/img/tooltag-add.png HTTP/1.1" 200 119
[14/Sep/2015 19:56:34]"GET /admin/auth/user/44/ HTTP/1.1" 200 14366
[14/Sep/2015 19:56:34]"GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4222
[14/Sep/2015 19:56:34]"GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 10127
[14/Sep/2015 19:56:35]"GET /static/admin/js/related-widget-wrapper.js HTTP/1.1" 200 857
[14/Sep/2015 19:56:35]"GET /static/admin/css/forms.css HTTP/1.1" 200 6266
[14/Sep/2015 19:56:35]"GET /static/admin/js/calendar.js HTTP/1.1" 200 5969
[14/Sep/2015 19:56:35]"GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 17161
[14/Sep/2015 19:56:35]"GET /admin/jsi18n/ HTTP/1.1" 200 2372
[14/Sep/2015 19:56:35]"GET /static/admin/css/widgets.css HTTP/1.1" 200 10430
[14/Sep/2015 19:56:35]"GET /static/admin/img/icon_calendar.gif HTTP/1.1" 200 192
[14/Sep/2015 19:56:35]"GET /static/admin/img/icon-unknown.gif HTTP/1.1" 200 130
[14/Sep/2015 19:56:35]"GET /static/admin/img/icon_clock.gif HTTP/1.1" 200 390
[14/Sep/2015 19:56:35]"GET /static/admin/img/selector-search.gif HTTP/1.1" 200 552
[14/Sep/2015 19:56:35]"GET /static/admin/img/selector-icons.gif HTTP/1.1" 200 2771
[14/Sep/2015 19:56:53]"POST /register/ HTTP/1.1" 200 26
[14/Sep/2015 19:56:55]"POST /login/ HTTP/1.1" 200 21
[14/Sep/2015 19:56:55]"GET /game_menu/ HTTP/1.1" 200 2657
[14/Sep/2015 19:56:56]"GET /cgi-bin/get_problem_files.py/ HTTP/1.1" 200 200
[14/Sep/2015 19:57:20]"GET /game/ HTTP/1.1" 302 0
[14/Sep/2015 19:57:20]"GET /static/game/index_game.html HTTP/1.1" 200 11298
[14/Sep/2015 19:57:20]"GET /static/game/CSS/normalize.css HTTP/1.1" 200 7797
[14/Sep/2015 19:57:20]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 200 25365
[14/Sep/2015 19:57:20]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 200 7374
[14/Sep/2015 19:57:20]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 200 16773
[14/Sep/2015 19:57:20]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 200 6367
[14/Sep/2015 19:57:20]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 200 12297
[14/Sep/2015 19:57:21]"GET /static/game/images/menu_nav.png HTTP/1.1" 200 1247
[14/Sep/2015 19:57:21]"GET /static/game/images/zoom_in.png HTTP/1.1" 200 37078
[14/Sep/2015 19:57:21]"GET /static/game/images/pause.png HTTP/1.1" 200 4145
[14/Sep/2015 19:57:21]"GET /static/game/images/zoom_out.png HTTP/1.1" 200 34588
[14/Sep/2015 19:57:21]"GET /static/game/images/bin.png HTTP/1.1" 200 7104
[14/Sep/2015 19:57:21]"GET /static/game/images/Close.png HTTP/1.1" 200 31448
[14/Sep/2015 19:57:21]"GET /static/game/sounds/cheer.mp3 HTTP/1.1" 200 55632
[14/Sep/2015 19:57:21]"POST /generate_problem/ HTTP/1.1" 200 214
[14/Sep/2015 19:57:21]"GET /static/game/sounds/bubble.wav HTTP/1.1" 200 112156
[14/Sep/2015 19:57:21]"POST /get_saved_game/ HTTP/1.1" 200 2
[14/Sep/2015 19:57:27]"POST /save_step/ HTTP/1.1" 200 118
[14/Sep/2015 19:57:28]"POST /save_step/ HTTP/1.1" 200 118
[14/Sep/2015 19:57:30]"POST /save_step/ HTTP/1.1" 200 118
[14/Sep/2015 19:57:30]"POST /save_step/ HTTP/1.1" 200 118
[14/Sep/2015 19:57:38]"GET /game/ HTTP/1.1" 302 0
[14/Sep/2015 19:57:38]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 304 0
[14/Sep/2015 19:57:38]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 304 0
[14/Sep/2015 19:57:38]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 304 0
[14/Sep/2015 19:57:38]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 304 0
[14/Sep/2015 19:57:38]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 304 0
[14/Sep/2015 19:57:38]"POST /generate_problem/ HTTP/1.1" 200 192
[14/Sep/2015 19:57:38]"POST /get_saved_game/ HTTP/1.1" 200 2
[14/Sep/2015 19:57:46]"GET /game/ HTTP/1.1" 302 0
[14/Sep/2015 19:57:46]"GET /static/game/scripts/game.js?1.002 HTTP/1.1" 304 0
[14/Sep/2015 19:57:46]"GET /static/game/scripts/tutorial.js?1.002 HTTP/1.1" 304 0
[14/Sep/2015 19:57:46]"GET /static/game/scripts/ClausePiece.js?1.001 HTTP/1.1" 304 0
[14/Sep/2015 19:57:46]"GET /static/game/scripts/BranchExplorer.js?1.0 HTTP/1.1" 304 0
[14/Sep/2015 19:57:46]"GET /static/game/scripts/PieceManager.js?1.002 HTTP/1.1" 304 0
[14/Sep/2015 19:57:46]"POST /generate_problem/ HTTP/1.1" 200 70
